o_lon,o_lat,d_lon,d_lat,count,from_node,to_node
113.9336253,22.54256673,113.9491413,22.54326376,13,135,202
113.9466447,22.56528032,113.9494284,22.57980162,13,192,203
114.0450666,22.52787192,114.036681,22.56561549,13,359,333
113.9146524,22.52693923,113.9186832,22.52710131,13,64,75
113.9633477,22.54208418,113.9494284,22.57980162,13,239,203
114.0509944,22.51818853,114.0374545,22.52361807,13,373,334
114.1373842,22.58057276,114.1380243,22.57118847,13,591,593
113.9186832,22.52710131,113.9084227,22.51486106,13,75,43
113.9186832,22.52710131,113.9198758,22.50237441,13,75,81
113.9186832,22.52710131,113.9236399,22.5078368,13,75,94
114.0509944,22.51818853,114.0487663,22.51081322,13,373,370
113.9190799,22.54314415,113.9243714,22.52956273,13,77,96
113.9223777,22.54298115,113.9491413,22.54326376,13,90,202
114.1063186,22.54472798,114.1374593,22.56901485,13,505,592
114.1809616,22.55777371,114.1809616,22.55777371,13,620,620
114.0374545,22.52361807,114.0418832,22.52115999,13,334,345
113.9243714,22.52956273,113.9206722,22.51237556,13,96,87
114.0311165,22.52390555,114.0509944,22.51818853,13,318,373
114.1374593,22.56901485,114.1259306,22.54791806,13,592,562
114.0202182,22.53203739,113.9451564,22.53255125,13,310,186
113.9155517,22.54329581,113.9199821,22.53534908,13,67,82
113.983442,22.5604799,113.9823854,22.54846664,13,271,269
113.9103595,22.53126836,113.9035937,22.51661875,13,52,36
113.920108,22.4932819,113.9097932,22.48718601,13,85,49
113.9494284,22.57980162,113.9691219,22.61983592,13,203,248
114.1334875,22.57130371,114.1153265,22.5588081,13,582,527
113.9359217,22.5218824,113.9221011,22.51789094,13,147,89
114.1063186,22.54472798,114.0628846,22.54292352,13,505,422
113.8842019,22.48371785,113.9097932,22.48718601,13,12,49
113.928999,22.49801767,113.9328845,22.50312846,13,117,131
